"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"9123","NEPTUNE COURT","MARINE VISTA","Apartment","15","OCR","99 yrs lease commencing from 1976","Resale","1","860000","-","1270","Strata","16 to 20","677","Apr-2017"
"9124","MODA","EAST COAST ROAD","Apartment","15","RCR","Freehold","Resale","1","2291940","-","1819","Strata","16 to 20","1260","Apr-2017"
"9125","OLEANDER TOWERS","LORONG 1 TOA PAYOH","Apartment","12","RCR","99 yrs lease commencing from 1995","Resale","1","972000","-","893","Strata","06 to 10","1088","Apr-2017"
"9126","VILLA MARTIA","MARTIA ROAD","Condominium","15","OCR","Freehold","Resale","1","1500000","-","1281","Strata","01 to 05","1171","Apr-2017"
"9127","HAWAII TOWER","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2430000","-","2239","Strata","01 to 05","1085","Apr-2017"
"9128","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","1479000","-","678","Strata","16 to 20","2181","Apr-2017"
"9129","PARK INFINIA AT WEE NAM","LINCOLN ROAD","Condominium","11","CCR","Freehold","Resale","1","2530000","-","1464","Strata","06 to 10","1728","Apr-2017"
"9130","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","1457000","-","678","Strata","16 to 20","2149","Apr-2017"
"9131","SIMSVILLE","GEYLANG EAST AVENUE 2","Condominium","14","RCR","99 yrs lease commencing from 1994","Resale","1","860000","-","969","Strata","01 to 05","888","Apr-2017"
"9132","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","1038000","-","474","Strata","11 to 15","2192","Apr-2017"
"9133","FULCRUM","FORT ROAD","Condominium","15","RCR","Freehold","Resale","1","971000","-","474","Strata","01 to 05","2050","Apr-2017"
"9134","SERENE VIEW MANSIONS","LORONG SELANGAT","Condominium","13","OCR","Freehold","Resale","1","1600000","-","2239","Strata","-","715","Apr-2017"
"9135","ASTORIA PARK","LORONG MYDIN","Condominium","14","OCR","99 yrs lease commencing from 1993","Resale","1","720000","-","743","Strata","01 to 05","969","Apr-2017"
"9136","PARK INFINIA AT WEE NAM","LINCOLN ROAD","Condominium","11","CCR","Freehold","Resale","1","1010000","-","560","Strata","06 to 10","1804","Apr-2017"
"9137","THE SEA VIEW","AMBER ROAD","Condominium","15","RCR","Freehold","Resale","1","2630000","-","1647","Strata","16 to 20","1597","Apr-2017"
"9138","AMBER POINT","AMBER ROAD","Condominium","15","RCR","Freehold","Resale","1","2230000","-","1690","Strata","21 to 25","1320","Apr-2017"
"9139","VERSILIA ON HAIG","IPOH LANE","Condominium","15","RCR","Freehold","Resale","1","1650000","-","1335","Strata","01 to 05","1236","Apr-2017"
"9140","COSTA RHU","RHU CROSS","Condominium","15","RCR","99 yrs lease commencing from 1994","Resale","1","1800000","-","1776","Strata","01 to 05","1013","Apr-2017"
"9141","SANCTUARY GREEN","TANJONG RHU ROAD","Condominium","15","RCR","99 yrs lease commencing from 1997","Resale","1","1198000","-","1119","Strata","11 to 15","1070","Apr-2017"
"9142","TIERRA VUE","ST. PATRICK'S ROAD","Condominium","15","OCR","Freehold","Resale","1","1370000","-","947","Strata","01 to 05","1446","Apr-2017"
"9143","SIMSVILLE","GEYLANG EAST AVENUE 2","Condominium","14","RCR","99 yrs lease commencing from 1994","Resale","1","880000","-","980","Strata","06 to 10","898","Apr-2017"
"9144","NEPTUNE COURT","MARINE VISTA","Apartment","15","OCR","99 yrs lease commencing from 1975","Resale","1","1140000","-","1636","Strata","01 to 05","697","Apr-2017"
"9145","NATURALIS","LORONG M TELOK KURAU","Apartment","15","OCR","Freehold","Resale","1","685000","-","560","Strata","01 to 05","1224","Apr-2017"
"9146","WING FONG COURT","LORONG 14 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","750000","-","1066","Strata","01 to 05","704","Apr-2017"
"9147","THE VERVE","JALAN RAJAH","Apartment","12","RCR","Freehold","Resale","1","1200000","-","1421","Strata","11 to 15","845","Apr-2017"
"9148","EASTWIND MANSIONS","JOO CHIAT TERRACE","Apartment","15","RCR","Freehold","Resale","1","1100000","-","1346","Strata","01 to 05","818","Apr-2017"
